mm	milliméadar
milli-mhéadar	milliméadar
cm	ceintiméadar
cm²	ceintiméadar cearnaithe
cm³	ceintiméadar ciúbach
ceintiméadar	ceintiméadar
m	em
m²	méadar cearnaithe
m³	méadar ciúbach
méadar	méadar
mg	milleagram
millea-gram	milleagram
kg	gcileagram
kgm	gcileagram
cileagram	gcileagram
km	gciliméadar
km²	gciliméadar cearnaithe
km³	gciliméadar ciúbach
ciliméadar	gciliméadar
%	faoin gcéad
h	n-uaire
u	n-uaire
n-uaire	n-uaire
n-uaire	n-uaire
gb	ngigibheart
gigi-bheart	ngigibheart
mb	meigibheart
meigi-bheart	meigibheart
l	lítear
lítear	lítear
min	nóiméad
mion	nóiméad
nóiméad	nóiméad
s	soicind
sec	soicind
soicind	soicind
t	dtona
dtona	dtona
tona	dtona
mph	míle san uair
msu	míle san uair
gm	ngram
g	ngram
gram	ngram
yd	slat
slat	slat
punt	bpunt
punt	bpunt
oz	unsa
unsa	unsa
lb	bpunt
ft	dtroithe
ft²	dtroigh cearnaithe
ft³	dtroigh ciúbach
tr	dtroigh
tr²	dtroigh cearnaithe
tr³	dtroigh ciúbach
troigh	dtroigh
dtroigh	dtroigh
in	n-orlaí
or	n-orlaí
orlach	n-orlaí
mí	míle
mí²	míle cearnaithe
mí³	míle ciúbach
míle	míle
kbps	kilobits gach soicind
mbps	megabits gach soicind
míle	míle
st	gcloch
cloch	gcloch
gl	ngalún
gls	ngalún
galún	ngalún
bbl	mbairille
bairille	mbairille
bu	mbuiséal
buiséal	mbuiséal
w	vata
vata	vata
vata	vata
mw	meigeavata
meigeavata	meigeavata
hz	heirts
heirts	heirts
mhz	meigiheirts
meigiheirts	meigiheirts
ghz	ngigiheirts
gigiheirts	ngigiheirts
p	bpingin
pingin	bpingin
kw	gcileavata
gcileavata	gcileavata
cileavata	gcileavata
kwh	gcileavata san uair
kj	gciligiúl
ciligiúl	gciligiúl
gciligiúl	gciligiúl
mol	mól
mól	mól
cc	c c
c	gcéim celsius
°	gcéim
