i	a haon
ii	a dó
iii	a trí
iv	a ceathair
v	a cúig
vi	a sé
vii	a seacht
viii	a hocht
ix	a naoi
x	a deich
xi	a haon déag
xii	a dó dhéag
xiii	a trí déag
xiv	a ceathair déag
xv	a cúig déag
xvi	a sé déag
xvii	a seacht déag
xviii	a hocht déag
xix	a naoi déag
xx	fiche
xxi	fiche a haon
xxii	fiche a dó
xxiii	fiche a trí
xxiv	fiche a ceathair
xxv	fiche a cúig
xxvi	fiche a sé
xxvii	fiche a seacht
xxviii	fiche a hocht
xxix	fiche a naoi
xxx	tríocha
xxxi	tríocha a haon
I	a haon
II	a dó
III	a trí
IV	a ceathair
V	a cúig
VI	a sé
VII	a seacht
VIII	a hocht
IX	a naoi
X	a deich
XI	a haon déag
XII	a dó dhéag
XIII	a trí déag
XIV	a ceathair déag
XV	a cúig déag
XVI	a sé déag
XVII	a seacht déag
XVIII	a hocht déag
XIX	a naoi déag
XX	fiche
XXI	fiche a haon
XXII	fiche a dó
XXIII	fiche a trí
XXIV	fiche a ceathair
XXV	fiche a cúig
XXVI	fiche a sé
XXVII	fiche a seacht
XXVIII	fiche a hocht
XXIX	fiche a naoi
XXX	tríocha
XXXI	tríocha a haon
